Unnamed: 0,age,gender,height,weight,Fitbit.Steps_LE,Fitbit.Heart_LE,Fitbit.Calories_LE,Fitbit.Distance_LE,EntropyFitbitHeartPerDay_LE,EntropyFitbitStepsPerDay_LE,RestingFitbitHeartrate_LE,CorrelationFitbitHeartrateSteps_LE,NormalizedFitbitHeartrate_LE,FitbitIntensity_LE,SDNormalizedFitbitHR_LE,FitbitStepsXDistance_LE,activity_trimmed
1131,25,1,160,75,1,150,2,1,6.1628904367988,4.23209672936501,6.125,1,143.875,0.761747187293183,34.1351804538983,1,Lying
1132,25,1,160,75,1,150,1,1,6.1628904367988,4.23209672936501,6.125,1,143.875,0.761747187293183,31.3828957594569,1,Lying
1133,25,1,160,75,1,143.125,1,1,6.1628904367988,4.23209672936501,6.125,1,137,0.725347452018531,27.1674198485422,1,Lying
1134,25,1,160,75,1,126.818181818182,1,1,6.1628904367988,4.23209672936501,6.125,1,120.693181818182,0.639010889838157,20.885464040982,1,Lying
1135,25,1,160,75,1,129.75,1,1,6.1628904367988,4.23209672936501,6.125,-0.113687618145325,123.625,0.654533421575116,8.86904300870761,1,Lying
1136,25,1,160,75,1,133.571428571429,3.5,1,6.1628904367988,4.23209672936501,6.125,0.177885973288233,127.446428571429,0.674766001701808,8.11216532617984,1,Sitting
1137,25,1,160,75,1,131,3.5,1,6.1628904367988,4.23209672936501,6.125,0.534782029890701,124.875,0.661151555261416,7.62327223495898,1,Sitting
1138,25,1,160,75,1,128.777777777778,3.5,1,6.1628904367988,4.23209672936501,6.125,0.735853168650682,122.652777777778,0.64938598426355,8.06429725571111,1,Sitting
1139,25,1,160,75,174,129.2,2,265,6.1628904367988,4.23209672936501,6.125,0.716283499585064,123.075,0.651621442753144,7.64164464339581,46110,Sitting
1140,25,1,160,75,166,139.583333333333,3.5,255,6.1628904367988,4.23209672936501,6.125,0.685630012166897,133.458333333333,0.706596073240678,7.32591112949539,42330,Sitting
1141,25,1,160,75,165,145,3.5,253,6.1628904367988,4.23209672936501,6.125,0.682449259206471,138.875,0.735274652547982,7.23030390083587,41745,Self Pace walk
1142,25,1,160,75,167,147.363636363636,54.5,256,6.1628904367988,4.23209672936501,6.125,0.597375549711447,141.238636363636,0.747788941700257,6.57630835770697,42752,Self Pace walk
1143,25,1,160,75,162,146.5,68,250,6.1628904367988,4.23209672936501,6.125,-0.856857836636184,140.375,0.743216412971542,5.16615217023,40500,Self Pace walk
1144,25,1,160,75,164,142.428571428571,71,252,6.1628904367988,4.23209672936501,6.125,-0.447359003148801,136.303571428571,0.72166020610759,2.52874290386005,41328,Self Pace walk
